talker	word	jyutping	frequency.group	condition	percent.different
s101	朋友	pang4.jau5	low	ADS	0
s101	所以	so2.ji5	low	CDS	0
s101	不過	bat7.gwo3	low	ADS	0
s101	呢個	{li1.go3|ni1.go3}	low	CDS	0
s101	呢個	{li1.go3|ni1.go3}	low	ADS	0
s101	我哋	{ngo5.dei6|o5.dei6}	low	CDS	0
s101	我哋	{ngo5.dei6|o5.dei6}	low	ADS	0
s101	嗰個	go2.go3	low	CDS	0
s101	但係	daan6.hai6	low	CDS	0
s101	但係	daan6.hai6	low	ADS	0
s101	其實	kei4.sat9	low	ADS	100
s101	唔係	m4.hai6	low	CDS	0
s101	唔係	m4.hai6	low	ADS	0
s101	就係	zau6.hai6	low	CDS	0
s101	可以	ho2.ji5	low	CDS	0
s101	可以	ho2.ji5	low	ADS	0
s101	覺得	gok8.dak7	low	ADS	0
s101	如果	jyu4.gwo2	low	CDS	0
s101	而家	ji4.gaa1	low	CDS	50
s101	而家	ji4.gaa1	low	ADS	100
s101	然後	jin4.hau6	low	CDS	66.66666666666666
s101	然後	jin4.hau6	low	ADS	85.71428571428571
s101	電腦	{din6.lou5|din6.nou5}	low	ADS	0
s101	重要	zung6.jiu3	low	ADS	0
s102	自己	zi6.gei2	low	CDS	57.14285714285714
s102	或者	waak9.ze2	low	ADS	20
s102	所以	so2.ji5	low	ADS	0
s102	不過	bat7.gwo3	low	CDS	0
s102	不過	bat7.gwo3	low	ADS	0
s102	呢個	{li1.go3|ni1.go3}	low	CDS	0
s102	呢個	{li1.go3|ni1.go3}	low	ADS	0
s102	我哋	{ngo5.dei6|o5.dei6}	low	CDS	0
s102	我哋	{ngo5.dei6|o5.dei6}	low	ADS	0
s102	嗰個	go2.go3	low	CDS	0
s102	嗰個	go2.go3	low	ADS	52.63157894736842
s102	但係	daan6.hai6	low	CDS	0
s102	但係	daan6.hai6	low	ADS	0
s102	其實	kei4.sat9	low	CDS	0
s102	其實	kei4.sat9	low	ADS	50
s102	唔係	m4.hai6	low	CDS	0
s102	就係	zau6.hai6	low	CDS	0
s102	就係	zau6.hai6	low	ADS	0
s102	可以	ho2.ji5	low	CDS	18.181818181818183
s102	可以	ho2.ji5	low	ADS	0
s102	覺得	gok8.dak7	low	CDS	50
s102	覺得	gok8.dak7	low	ADS	100
s102	如果	jyu4.gwo2	low	ADS	0
s102	而家	ji4.gaa1	low	CDS	0
s102	以前	ji5.cin4	low	CDS	66.66666666666666
s102	然後	jin4.hau6	low	CDS	0
s102	先生	sin1.saang1	low	CDS	50
s102	做嘢	zou6.je5	low	CDS	0
s102	電腦	{din6.lou5|din6.nou5}	low	ADS	0
s103	自己	zi6.gei2	low	CDS	0
s103	自己	zi6.gei2	low	ADS	50
s103	或者	waak9.ze2	low	CDS	0
s103	或者	waak9.ze2	low	ADS	50
s103	所以	so2.ji5	low	ADS	0
s103	知道	zi1.dou6	low	ADS	100
s103	呢個	{li1.go3|ni1.go3}	low	CDS	0
s103	呢個	{li1.go3|ni1.go3}	low	ADS	0
s103	我哋	{ngo5.dei6|o5.dei6}	low	CDS	0
s103	我哋	{ngo5.dei6|o5.dei6}	low	ADS	0
s103	嗰個	go2.go3	low	CDS	0
s103	嗰個	go2.go3	low	ADS	20
s103	但係	daan6.hai6	low	CDS	0
s103	但係	daan6.hai6	low	ADS	41.66666666666667
s103	其實	kei4.sat9	low	ADS	50
s103	唔係	m4.hai6	low	CDS	0
s103	唔係	m4.hai6	low	ADS	0
s103	就係	zau6.hai6	low	ADS	0
s103	可以	ho2.ji5	low	CDS	0
s103	可以	ho2.ji5	low	ADS	0
s103	覺得	gok8.dak7	low	ADS	0
s103	如果	jyu4.gwo2	low	CDS	100
s103	如果	jyu4.gwo2	low	ADS	33.33333333333333
s103	而家	ji4.gaa1	low	CDS	100
s103	而家	ji4.gaa1	low	ADS	100
s103	然後	jin4.hau6	low	ADS	0
s103	先生	sin1.saang1	low	CDS	100
s103	報紙	bou3.zi2	low	ADS	100
s103	重要	zung6.jiu3	low	ADS	0
s103	打算	daa2.syun3	low	ADS	0
